1,Wilson Evolution Indoor Game Basketball,Sports and Fitness,48.61,200
2,"Kenmore 65132 7.0 cu. ft. Electric Dryer with SmartDry Plus Technology in White, includes delivery and hookup",Appliances,499.99,20
3,"Compact Ice Maker, Red",Appliances,79.99,20
4,"The Official SAT Study Guide, 2018 Edition (Official Study Guide for the New Sat)",Books,21.15,50
5,Lord of the Rings Boxed Set,Books,112.41,20
6,Solar System Reference Poster,Maps,3.99,30
7,Schwinn Men's Wayfarer Hybrid Bike,Sports,198.99,3
8,Echo Dot (2nd Generation),Amazon Devices,49.99,100
9,Xbox One S 1TB Console - Starter Bundle,Video Games,294.69,30
10,Levi's Men's 514 Straight Fit Jean,Amazon Fashion,39.99,30
